protein_family,best_model,best_metric,best_score
IC,rf,f1_score,1.0
GPCR,rf,f1_score,0.9640000000000001
Enzyme,rf,f1_score,1.0
Enzyme,rf,f1_score,0.9728
Kinase,rf,f1_score,0.9981
GPCR,mlp,f1_score,0.9985
GPCR,svc,f1_score,0.9956
Enzyme,rf,f1_score,1.0
GPCR,mlp,f1_score,0.9916
Enzyme,mlp,f1_score,0.9977
GPCR,xgb,f1_score,1.0
Epigenetic,rf,f1_score,0.9979
GPCR,xgb,f1_score,0.9942
Kinase,xgb,f1_score,1.0
IC,svc,f1_score,0.9988
Enzyme,rf,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Enzyme,rf,f1_score,0.9946
Other,svc,f1_score,1.0
IC,xgb,f1_score,0.9809
Kinase,xgb,f1_score,1.0
Kinase,xgb,f1_score,1.0
Enzyme,mlp,f1_score,0.9918
IC,mlp,f1_score,0.9964
NR,rf,f1_score,0.9568
Enzyme,svc,f1_score,0.9963
Enzyme,rf,f1_score,0.9918
GPCR,mlp,f1_score,0.9982
Enzyme,xgb,f1_score,0.9753
Kinase,mlp,f1_score,0.9899
Enzyme,mlp,f1_score,0.9938
Enzyme,xgb,f1_score,0.9931
NR,svc,f1_score,1.0
Enzyme,rf,f1_score,0.9985
Enzyme,mlp,f1_score,1.0
Enzyme,rf,f1_score,1.0
GPCR,xgb,f1_score,1.0
Enzyme,rf,f1_score,0.9802
Kinase,rf,f1_score,1.0
Other,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.9899
Kinase,svc,f1_score,0.9651
Other,svc,f1_score,0.9986
Epigenetic,mlp,f1_score,0.9947
GPCR,xgb,f1_score,1.0
Kinase,mlp,f1_score,0.9987
Other,xgb,f1_score,0.7641
Other,svc,f1_score,0.9401
GPCR,svc,f1_score,1.0
Kinase,xgb,f1_score,1.0
Transporter,svc,f1_score,0.9957
Kinase,svc,f1_score,0.9991
Epigenetic,mlp,f1_score,0.9958
TF; Epigenetic,mlp,f1_score,1.0
Enzyme,rf,f1_score,0.9942
Other,rf,f1_score,1.0
Enzyme,mlp,f1_score,0.9245
Kinase,svc,f1_score,0.9913
Other,rf,f1_score,1.0
Transporter,rf,f1_score,0.9871
Kinase,xgb,f1_score,1.0
Other,xgb,f1_score,0.9853
Enzyme,xgb,f1_score,0.9947
Enzyme,rf,f1_score,1.0
TF,svc,f1_score,0.9757
Other,rf,f1_score,0.9802
NR,mlp,f1_score,0.9984
Kinase,xgb,f1_score,1.0
Enzyme,mlp,f1_score,0.9942
