,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P14174,Other,0.9512,0.9421,0.5784,0.6379,0.939,0.9231,0.4225,0.5175,0.9634,0.9645,0.78,0.7821,0.939,0.9231,0.4225,0.5175,325,82,37,370,svc,f1_score,0.9645
P08173,GPCR,0.9843,0.9839,0.9006,0.9028,0.9754,0.974,0.8361,0.8438,0.9441,0.947,0.7005,0.7066,0.9821,0.9817,0.8877,0.8891,1786,447,203,2030,xgb,f1_score,0.9839
P11802,Kinase,0.9953,0.995,0.9015,0.9059,0.998,0.998,0.9616,0.9623,0.9964,0.9965,0.9347,0.9362,0.9992,0.9992,0.9839,0.984,14326,3582,484,17424,mlp,f1_score,0.9992
Q9BSW2,Other,0.9839,0.9831,0.8913,0.8966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9839,0.9845,0.9078,0.9117,492,124,56,560,rf,f1_score,1.0
Q9NZJ5,Kinase,0.9737,0.9739,0.9426,0.9442,0.9737,0.9739,0.9426,0.9442,0.9474,0.9482,0.8872,0.8929,0.9211,0.9226,0.8338,0.8456,148,38,62,124,xgb,f1_score,0.9739
Q8N1Q1,Enzyme,0.9913,0.9906,0.8119,0.8208,0.9951,0.995,0.9032,0.9047,0.9883,0.9889,0.8005,0.8045,0.9961,0.9962,0.9313,0.9335,4114,1029,139,5004,mlp,f1_score,0.9962
P51512,Enzyme,0.9855,0.9849,0.9013,0.9057,0.9855,0.9849,0.9013,0.9057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,272,69,31,310,svc,f1_score,1.0
P04629,Kinase,0.9801,0.9793,0.8702,0.8738,0.9851,0.9844,0.9021,0.9065,0.988,0.9879,0.926,0.9263,0.9861,0.9858,0.9119,0.9131,4012,1004,456,4560,svc,f1_score,0.9879
O75173,Enzyme,0.9928,0.9923,0.8426,0.8532,0.9964,0.9963,0.9267,0.9292,0.9964,0.9964,0.9315,0.9315,0.9982,0.9982,0.9657,0.9657,4440,1110,150,5400,mlp,f1_score,0.9982
Q16478,IC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9787,0.9773,0.8459,0.8561,184,47,21,210,xgb,f1_score,1.0
P04818,Enzyme,0.9937,0.9936,0.9614,0.9616,0.9968,0.9968,0.9807,0.9809,0.9937,0.9937,0.962,0.962,0.9937,0.9936,0.9608,0.9616,2534,634,288,2880,rf,f1_score,0.9968
Q9Y5Z0,Enzyme,0.9935,0.9931,0.862,0.8703,0.9973,0.9972,0.946,0.9474,0.9986,0.9986,0.9743,0.9743,0.9969,0.9969,0.9411,0.9413,11724,2932,400,14256,svc,f1_score,0.9986
P50416,Enzyme,0.998,0.998,0.9603,0.9611,0.9991,0.9991,0.9833,0.9835,0.9974,0.9975,0.952,0.9524,0.9997,0.9997,0.9945,0.9945,13944,3487,472,16959,mlp,f1_score,0.9997
P20292,Enzyme,0.9909,0.9906,0.9418,0.9434,0.9868,0.9863,0.9141,0.9174,0.9837,0.9839,0.9031,0.9034,0.9858,0.9857,0.9126,0.9127,3933,984,447,4470,xgb,f1_score,0.9906
