,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P13945,GPCR,0.995,0.9948,0.8949,0.8999,0.9981,0.9981,0.9629,0.9636,0.9981,0.9981,0.9646,0.9646,0.9994,0.9994,0.9879,0.988,6423,1606,217,7812,mlp,f1_score,0.9994
Q8IXJ6,Epigenetic,0.9834,0.983,0.893,0.8948,0.9901,0.9898,0.9358,0.9377,0.9868,0.987,0.9213,0.922,0.9934,0.9933,0.9579,0.9588,1205,302,137,1370,mlp,f1_score,0.9933
P17931,Other,0.9804,0.9794,0.8783,0.8849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,202,51,23,230,rf,f1_score,1.0
P06870,Enzyme,0.9781,0.9767,0.8455,0.8558,0.9781,0.9767,0.8455,0.8558,0.9854,0.9848,0.9012,0.9057,0.9635,0.9611,0.7426,0.7516,545,137,62,620,svc,f1_score,0.9848
O15054,Epigenetic,0.9167,0.9132,0.8,0.8165,0.9167,0.9132,0.8,0.8165,0.9167,0.9132,0.8,0.8165,0.9167,0.9132,0.8,0.8165,48,12,20,40,xgb,f1_score,0.9132
Q05823,Kinase,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,6,20,7,xgb,f1_score,1.0
Q13093,Enzyme,0.9881,0.9878,0.9234,0.9261,0.9941,0.994,0.9629,0.9635,0.9955,0.9956,0.9732,0.9732,0.9955,0.9955,0.9728,0.9728,2692,674,306,3060,svc,f1_score,0.9956
Q02156,Kinase,0.974,0.972,0.8197,0.8333,0.987,0.9866,0.916,0.9193,0.987,0.9866,0.916,0.9193,0.9827,0.9819,0.8854,0.8913,924,231,105,1050,rf,f1_score,0.9866
P00746,Enzyme,0.9995,0.9995,0.9914,0.9914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17730,4433,599,21564,rf,f1_score,1.0
P06737,Enzyme,0.9988,0.9988,0.9925,0.9926,0.9988,0.9988,0.9925,0.9926,0.9976,0.9976,0.9853,0.9854,0.9963,0.9963,0.9776,0.9776,3264,817,371,3710,xgb,f1_score,0.9988
Q15303,Kinase,0.9577,0.956,0.7046,0.708,0.9859,0.9853,0.9015,0.9059,0.9859,0.9864,0.9154,0.9187,0.9859,0.9853,0.9015,0.9059,281,71,32,320,svc,f1_score,0.9864
P45452,Enzyme,0.9989,0.9989,0.9932,0.9932,0.9982,0.9982,0.9891,0.9891,0.996,0.996,0.9758,0.9759,0.9975,0.9975,0.985,0.985,17855,4464,2029,20290,xgb,f1_score,0.9989
Q16665,TF,0.9462,0.9348,0.5231,0.5951,0.957,0.9542,0.6915,0.6999,0.957,0.957,0.7265,0.7265,0.957,0.9542,0.6915,0.6999,369,93,42,420,svc,f1_score,0.957
O15055,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9867,0.9862,0.9158,0.9191,299,75,34,340,xgb,f1_score,1.0
P08922,Kinase,0.9767,0.9752,0.8448,0.8551,0.9767,0.9752,0.8448,0.8551,0.9767,0.9752,0.8448,0.8551,0.9884,0.988,0.927,0.9295,343,86,39,390,mlp,f1_score,0.988
P51685,GPCR,0.9712,0.9685,0.7851,0.8039,0.9808,0.9797,0.8648,0.8728,1.0,1.0,1.0,1.0,0.9808,0.9816,0.8895,0.895,413,104,47,470,svc,f1_score,1.0
P35354,Enzyme,0.9932,0.9931,0.9575,0.9584,0.9917,0.9916,0.948,0.9491,0.9859,0.9858,0.914,0.9141,0.9915,0.9913,0.9469,0.9474,13569,3393,1542,15420,xgb,f1_score,0.9931
Q9H8M2,Epigenetic,0.978,0.9766,0.8455,0.8558,0.989,0.9887,0.9274,0.9298,1.0,1.0,1.0,1.0,0.967,0.9693,0.8242,0.8372,360,91,41,410,svc,f1_score,1.0
P47900,GPCR,0.9977,0.9977,0.9861,0.9862,1.0,1.0,1.0,1.0,0.9977,0.9977,0.9864,0.9865,0.9977,0.9977,0.9864,0.9865,1742,436,198,1980,rf,f1_score,1.0
Q13464,Kinase,0.9925,0.9924,0.9524,0.9535,0.9925,0.9924,0.9524,0.9535,0.9888,0.9887,0.93,0.9303,0.9888,0.9884,0.9272,0.9297,1064,267,121,1210,xgb,f1_score,0.9924
Q9GZN0,GPCR,0.9776,0.9761,0.8452,0.8556,0.9865,0.9861,0.9116,0.9152,0.9955,0.9956,0.9731,0.9735,0.9596,0.9592,0.7471,0.7474,888,223,101,1010,svc,f1_score,0.9956
Q16539,Kinase,0.9928,0.9927,0.9553,0.9556,0.9931,0.993,0.9573,0.9577,0.9924,0.9924,0.9545,0.9545,0.9959,0.9959,0.9749,0.9749,11616,2904,1320,13200,mlp,f1_score,0.9959
Q96GD4,Kinase,0.9951,0.9949,0.898,0.9027,0.9965,0.9964,0.9291,0.9314,0.9977,0.9977,0.9564,0.9566,0.9977,0.9976,0.9546,0.9549,17168,4292,580,20880,svc,f1_score,0.9977
P39748,Enzyme,0.974,0.972,0.8197,0.8333,0.987,0.9866,0.916,0.9193,1.0,1.0,1.0,1.0,0.987,0.9874,0.9262,0.9287,308,77,35,350,svc,f1_score,1.0
P41968,GPCR,0.9895,0.9886,0.8096,0.8247,1.0,1.0,1.0,1.0,0.9979,0.9979,0.9686,0.9691,0.9979,0.9979,0.9686,0.9691,1909,478,81,2306,rf,f1_score,1.0
Q9HBW0,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7692,0.7776,0.5517,0.6172,0.8462,0.8282,0.5806,0.6396,50,13,21,42,xgb,f1_score,1.0
P18054,Enzyme,0.9899,0.9898,0.9705,0.9709,0.9772,0.9768,0.9323,0.9344,0.9747,0.9747,0.9275,0.9275,0.9722,0.9722,0.9205,0.9206,1580,395,447,1528,xgb,f1_score,0.9898
P78527,Kinase,0.9922,0.9916,0.8295,0.8418,0.9951,0.9949,0.8995,0.9041,0.9942,0.9944,0.897,0.8991,0.9961,0.9962,0.929,0.9296,4114,1029,139,5004,mlp,f1_score,0.9962
P06493,Kinase,0.9866,0.9845,0.6606,0.7023,0.9945,0.9942,0.8825,0.8886,0.9929,0.9931,0.8696,0.8704,0.9969,0.9969,0.9412,0.9416,5091,1273,172,6192,mlp,f1_score,0.9969
P48147,Enzyme,0.9886,0.9883,0.9272,0.9296,0.9915,0.9913,0.9462,0.9475,0.9943,0.9943,0.9656,0.9656,0.9858,0.9859,0.9153,0.9154,1408,352,160,1600,svc,f1_score,0.9943
P15428,Enzyme,0.9967,0.9966,0.9338,0.9359,0.9984,0.9983,0.9679,0.9684,1.0,1.0,1.0,1.0,0.9992,0.9992,0.9847,0.9848,4913,1229,166,5976,svc,f1_score,1.0
P14410,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9895,0.9892,0.9354,0.9374,378,95,43,430,xgb,f1_score,1.0
Q96EB6,Epigenetic,0.9675,0.9643,0.766,0.7878,0.974,0.972,0.8197,0.8333,0.961,0.9622,0.7785,0.7807,0.9675,0.9658,0.7826,0.7894,616,154,70,700,rf,f1_score,0.972
P45983,Kinase,0.9947,0.9946,0.9668,0.9673,0.9929,0.9928,0.9561,0.9563,0.9947,0.9947,0.9679,0.968,0.9965,0.9965,0.9784,0.9784,2252,564,256,2560,mlp,f1_score,0.9965
O15229,Enzyme,0.9835,0.9827,0.8911,0.8964,0.9917,0.9916,0.9479,0.9492,0.9835,0.9835,0.9,0.9,0.9835,0.9827,0.8911,0.8964,484,121,55,550,rf,f1_score,0.9916
P00750,Enzyme,0.9881,0.9877,0.9221,0.9249,0.9881,0.9877,0.9221,0.9249,0.9702,0.9707,0.8223,0.8229,0.9881,0.9877,0.9221,0.9249,668,168,76,760,xgb,f1_score,0.9877
P42262,IC,0.9806,0.9799,0.8747,0.8783,0.9834,0.9826,0.891,0.8964,0.9806,0.9812,0.8907,0.8934,0.9834,0.9829,0.8942,0.8964,1443,361,164,1640,mlp,f1_score,0.9829
Q9Y3Q4,IC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143,0.645,0.2432,0.3721,55,14,23,46,xgb,f1_score,1.0
P06213,Kinase,0.9873,0.9868,0.9162,0.9194,0.9936,0.9935,0.9595,0.9603,1.0,1.0,1.0,1.0,0.9809,0.9798,0.8698,0.8773,624,157,71,710,svc,f1_score,1.0
P08581,Kinase,0.9971,0.9971,0.9822,0.9822,0.9956,0.9956,0.9732,0.9733,0.9964,0.9964,0.9781,0.9781,0.9974,0.9975,0.9847,0.9847,10973,2744,1247,12470,mlp,f1_score,0.9975
Q5S007,Kinase,0.988,0.9878,0.9245,0.9257,0.99,0.9897,0.9364,0.9383,0.99,0.9899,0.9383,0.9386,0.988,0.9876,0.9229,0.9257,4004,1001,455,4550,svc,f1_score,0.9899
Q06124,Enzyme,0.9412,0.9295,0.546,0.6128,0.9412,0.9295,0.546,0.6128,0.9608,0.9608,0.7783,0.7783,0.9412,0.9295,0.546,0.6128,202,51,23,230,svc,f1_score,0.9608
P05164,Enzyme,0.9807,0.9796,0.872,0.8792,0.9903,0.9901,0.9392,0.9409,0.971,0.9717,0.834,0.8353,0.9565,0.9548,0.7193,0.7225,827,207,94,940,rf,f1_score,0.9901
Q9UHD2,Kinase,0.9945,0.9944,0.9647,0.9653,0.9945,0.9944,0.9647,0.9653,0.9945,0.9946,0.9667,0.9672,0.9448,0.933,0.5224,0.5946,721,181,82,820,svc,f1_score,0.9946
P55899,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9577,0.9615,0.7774,0.7974,281,71,32,320,xgb,f1_score,1.0
P41594,GPCR,0.9921,0.992,0.9506,0.9514,0.9945,0.9944,0.9661,0.9662,0.9874,0.9874,0.9241,0.9241,0.9937,0.9937,0.9614,0.9615,5068,1268,576,5760,rf,f1_score,0.9944
Q9NP59,Transporter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67,17,28,56,xgb,f1_score,1.0
P34995,GPCR,0.9883,0.988,0.926,0.9277,0.9965,0.9965,0.9785,0.9787,0.9965,0.9965,0.9792,0.9794,0.9859,0.9858,0.9133,0.9137,3414,854,388,3880,svc,f1_score,0.9965
P29474,Enzyme,0.9479,0.9378,0.5606,0.6241,0.9635,0.9592,0.7225,0.7521,0.9427,0.946,0.6866,0.6937,0.9688,0.9657,0.7697,0.791,765,192,87,870,mlp,f1_score,0.9657
P04062,Enzyme,0.9838,0.983,0.8932,0.8983,0.987,0.9866,0.916,0.9193,0.9838,0.9834,0.8968,0.8985,0.987,0.9866,0.916,0.9193,1232,308,140,1400,rf,f1_score,0.9866
Q08345,Kinase,0.9794,0.9782,0.864,0.8721,0.9794,0.9782,0.864,0.8721,0.9897,0.9899,0.9417,0.9433,0.9588,0.9588,0.7551,0.7551,387,97,44,440,svc,f1_score,0.9899
Q07912,Kinase,0.9937,0.9938,0.9621,0.9628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,633,159,72,720,rf,f1_score,1.0
P09960,Enzyme,0.9928,0.9927,0.955,0.9559,0.994,0.9939,0.9627,0.9634,0.9964,0.9964,0.9784,0.9784,0.9964,0.9964,0.9782,0.9782,3335,834,379,3790,svc,f1_score,0.9964
P53985,Transporter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156,39,65,130,xgb,f1_score,1.0
P10828,NR,0.9891,0.9889,0.9323,0.9331,0.9957,0.9956,0.9732,0.9736,0.9978,0.9978,0.9868,0.9868,0.9978,0.9978,0.9868,0.9868,1839,460,209,2090,svc,f1_score,0.9978
Q15661,Enzyme,0.9806,0.9806,0.9561,0.9561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9612,0.9609,0.9109,0.9118,410,103,171,342,rf,f1_score,1.0
P19099,Other,0.9835,0.9835,0.9628,0.9629,0.9929,0.9929,0.9841,0.9841,0.9835,0.9836,0.9633,0.9636,0.9718,0.9719,0.937,0.9372,1696,425,707,1414,rf,f1_score,0.9929
P80365,Enzyme,0.9811,0.9802,0.8787,0.8853,0.9811,0.9802,0.8787,0.8853,0.9811,0.9811,0.8896,0.8896,0.9811,0.9811,0.8896,0.8896,422,106,48,480,svc,f1_score,0.9811
P14902,Enzyme,0.9781,0.9768,0.8504,0.8601,0.9809,0.9798,0.8711,0.8784,0.9754,0.9756,0.8521,0.8523,0.959,0.9612,0.7775,0.7846,1460,366,166,1660,rf,f1_score,0.9798
P12268,Enzyme,0.9971,0.9971,0.9825,0.9826,0.9981,0.9981,0.9884,0.9884,0.9981,0.9981,0.9884,0.9884,0.9981,0.9981,0.9884,0.9884,4180,1045,475,4750,rf,f1_score,0.9981
P21730,GPCR,0.9883,0.9866,0.7145,0.7455,0.9983,0.9983,0.9669,0.9674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4765,1192,161,5796,svc,f1_score,1.0
P11150,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9984,0.9984,0.9903,0.9903,2472,619,281,2810,xgb,f1_score,1.0
P04150,NR,0.9966,0.9966,0.9924,0.9924,0.9887,0.9887,0.9747,0.9747,0.991,0.991,0.9797,0.9797,0.9854,0.9854,0.9673,0.9674,3552,888,1480,2960,xgb,f1_score,0.9966
P33981,Kinase,0.9933,0.9931,0.9574,0.9582,0.9933,0.9931,0.9574,0.9582,0.9933,0.9931,0.9574,0.9582,0.9955,0.9955,0.9725,0.9725,1777,445,202,2020,mlp,f1_score,0.9955
P25116,GPCR,0.9948,0.9947,0.9674,0.9679,0.9983,0.9982,0.9893,0.9894,0.9948,0.9948,0.9691,0.9695,0.9983,0.9982,0.9893,0.9894,2288,572,260,2600,rf,f1_score,0.9982
P45984,Kinase,0.9602,0.9551,0.7004,0.7341,0.9659,0.9623,0.7519,0.7762,0.9659,0.9659,0.7937,0.7937,0.9716,0.972,0.8328,0.8333,704,176,80,800,mlp,f1_score,0.972
Q04759,Kinase,0.9919,0.9917,0.9488,0.9501,0.9919,0.9917,0.9488,0.9501,0.9919,0.9918,0.9505,0.9505,0.9951,0.9951,0.9698,0.9702,2455,614,279,2790,mlp,f1_score,0.9951
Q9Y251,Enzyme,0.9877,0.9866,0.8047,0.8205,0.9982,0.9982,0.9758,0.9761,0.9912,0.9915,0.8891,0.891,0.9947,0.9948,0.9306,0.9308,2276,570,110,2736,rf,f1_score,0.9982
P30419,Enzyme,0.9811,0.9801,0.8699,0.8774,0.9874,0.987,0.9163,0.9195,0.9937,0.9938,0.9621,0.9628,0.9874,0.987,0.9163,0.9195,633,159,72,720,svc,f1_score,0.9938
Q9HCG7,Enzyme,0.9975,0.9975,0.9511,0.9523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938,0.9939,0.8857,0.8859,3226,807,109,3924,rf,f1_score,1.0
Q99572,IC,0.9958,0.9957,0.9741,0.9742,0.9954,0.9954,0.972,0.9722,0.9867,0.9869,0.9226,0.9236,0.9951,0.9951,0.9704,0.9704,12302,3076,1398,13980,xgb,f1_score,0.9957
Q96JM7,Epigenetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856,0.9861,0.9206,0.9235,554,139,63,630,xgb,f1_score,1.0
O75116,Kinase,0.9893,0.989,0.9317,0.9339,0.9878,0.9875,0.9219,0.9241,0.9939,0.9939,0.963,0.963,0.9916,0.9915,0.9478,0.9483,5253,1314,597,5970,svc,f1_score,0.9939
P11597,Other,0.9971,0.997,0.9417,0.9429,0.9982,0.9982,0.9649,0.9652,0.9948,0.995,0.9072,0.9088,0.998,0.998,0.9613,0.9613,17819,4455,602,21672,rf,f1_score,0.9982
P05981,Enzyme,0.9688,0.9659,0.7838,0.8028,0.9688,0.9659,0.7838,0.8028,0.9844,0.9837,0.9006,0.9051,0.9531,0.9512,0.7019,0.7054,255,64,29,290,svc,f1_score,0.9837
O15120,Enzyme,0.9827,0.9788,0.5385,0.607,1.0,1.0,1.0,1.0,0.9965,0.9966,0.9394,0.9411,0.9931,0.9935,0.8854,0.8912,2308,578,78,2808,rf,f1_score,1.0
Q9UHC3,IC,0.9474,0.9474,0.8021,0.8021,0.9737,0.9727,0.8939,0.8989,0.9474,0.9474,0.8021,0.8021,0.9474,0.9429,0.7711,0.7921,148,38,31,155,rf,f1_score,0.9727
P43166,Enzyme,0.9901,0.9894,0.7845,0.795,0.9923,0.9919,0.8408,0.8447,0.9895,0.9896,0.8057,0.8059,0.996,0.996,0.9237,0.9237,12964,3241,442,15763,mlp,f1_score,0.996
P20309,GPCR,0.9873,0.987,0.9193,0.9211,0.9893,0.989,0.9319,0.934,0.9731,0.9732,0.8392,0.8393,0.9883,0.9882,0.9277,0.9281,7876,1969,895,8950,rf,f1_score,0.989
P28074,Enzyme,0.9879,0.9875,0.922,0.9248,0.9939,0.9938,0.9622,0.9629,0.9939,0.9938,0.9622,0.9629,0.9919,0.9918,0.9501,0.9504,1980,495,225,2250,rf,f1_score,0.9938
Q7Z2W7,IC,0.9905,0.9902,0.9397,0.9414,0.9905,0.9902,0.9397,0.9414,0.9905,0.9903,0.9405,0.9414,0.9932,0.9931,0.9575,0.9584,2939,735,334,3340,mlp,f1_score,0.9931
Q04609,Enzyme,0.9977,0.9976,0.9577,0.9586,0.9992,0.9992,0.9863,0.9864,0.9992,0.9992,0.9863,0.9864,0.9977,0.9977,0.9599,0.9599,5200,1301,191,6310,rf,f1_score,0.9992
P30305,Enzyme,0.9748,0.973,0.8288,0.8412,0.9916,0.9914,0.9478,0.9491,0.9664,0.9687,0.8278,0.8403,0.9748,0.9753,0.8556,0.8566,475,119,54,540,rf,f1_score,0.9914
P10145,Other,1.0,1.0,1.0,1.0,0.9583,0.9559,0.8333,0.8452,1.0,1.0,1.0,1.0,0.9583,0.9559,0.8333,0.8452,96,24,20,100,xgb,f1_score,1.0
P35372,GPCR,0.9959,0.9959,0.9748,0.975,0.9962,0.9961,0.9764,0.9766,0.9972,0.9972,0.983,0.983,0.9967,0.9967,0.9798,0.9798,15602,3901,1773,17730,svc,f1_score,0.9972
Q14790,Enzyme,0.9895,0.9883,0.7517,0.776,0.9977,0.9976,0.9534,0.9544,0.9988,0.9988,0.9772,0.9774,0.9988,0.9988,0.9772,0.9774,3438,860,117,4181,svc,f1_score,0.9988
Q00796,Enzyme,0.9487,0.9495,0.8889,0.8944,1.0,1.0,1.0,1.0,0.9744,0.9746,0.9434,0.9449,0.9487,0.9495,0.8889,0.8944,153,39,64,128,rf,f1_score,1.0
Q9Y271,GPCR,0.9924,0.9918,0.8349,0.8465,0.9985,0.9985,0.9706,0.9711,0.9985,0.9985,0.9706,0.9711,0.997,0.9969,0.9396,0.9413,2634,659,89,3204,rf,f1_score,0.9985
Q86TI2,Enzyme,0.9892,0.9889,0.9308,0.9331,0.9913,0.9911,0.9453,0.9467,0.987,0.9871,0.9231,0.9234,0.9848,0.9846,0.9053,0.906,1848,462,210,2100,rf,f1_score,0.9911
Q13153,Kinase,0.9623,0.9609,0.7488,0.7515,0.9937,0.9936,0.9595,0.9603,0.9623,0.9634,0.7793,0.7814,0.9686,0.969,0.8103,0.8109,633,159,72,720,rf,f1_score,0.9936
P32245,GPCR,0.9996,0.9996,0.9974,0.9974,0.9996,0.9996,0.9974,0.9974,0.9983,0.9983,0.9896,0.9897,0.9978,0.9978,0.987,0.987,9240,2310,1050,10500,xgb,f1_score,0.9996
P05089,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,290,73,33,330,xgb,f1_score,1.0
Q96KS0,Other,0.9868,0.9864,0.9159,0.9192,0.9934,0.9933,0.9594,0.9602,0.9868,0.9868,0.9213,0.9213,0.9868,0.9868,0.9213,0.9213,607,152,69,690,rf,f1_score,0.9933
P11309,Kinase,0.9947,0.9947,0.9674,0.9677,0.9951,0.9951,0.9699,0.9702,0.9964,0.9964,0.9781,0.9782,0.9947,0.9947,0.9682,0.9682,9873,2469,1122,11220,svc,f1_score,0.9964
O95749,Enzyme,0.9878,0.9874,0.9165,0.9197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878,0.9882,0.9267,0.9292,325,82,37,370,rf,f1_score,1.0
Q02127,Enzyme,0.9902,0.99,0.938,0.9391,0.9913,0.9911,0.9446,0.9461,0.988,0.9881,0.9291,0.9295,0.9803,0.9805,0.882,0.8821,3660,916,416,4160,rf,f1_score,0.9911
P53671,Kinase,0.9909,0.9907,0.9424,0.944,1.0,1.0,1.0,1.0,0.9955,0.9955,0.9731,0.9735,0.9955,0.9955,0.9731,0.9735,880,220,100,1000,rf,f1_score,1.0
P21918,GPCR,0.9754,0.9743,0.8352,0.8393,0.9951,0.995,0.9687,0.9692,0.9803,0.9812,0.8892,0.8947,0.9507,0.9547,0.7461,0.762,809,203,92,920,rf,f1_score,0.995
Q96KQ7,Epigenetic,1.0,1.0,1.0,1.0,0.9915,0.9913,0.9477,0.949,1.0,1.0,1.0,1.0,0.9829,0.9821,0.8908,0.8961,466,117,53,530,xgb,f1_score,1.0
P51812,Kinase,0.9776,0.9761,0.8452,0.8556,0.9776,0.9761,0.8452,0.8556,0.9731,0.9731,0.8352,0.8352,0.9641,0.9633,0.7699,0.7712,888,223,101,1010,xgb,f1_score,0.9761
P35367,GPCR,0.985,0.9845,0.903,0.9062,0.985,0.9846,0.9039,0.9063,0.9719,0.9727,0.8403,0.8426,0.9784,0.9789,0.8748,0.8759,4268,1067,485,4850,rf,f1_score,0.9846
P21452,GPCR,0.9954,0.9954,0.9718,0.972,0.9947,0.9946,0.967,0.9673,0.9878,0.988,0.9282,0.9288,0.9962,0.9962,0.977,0.977,5244,1312,596,5960,mlp,f1_score,0.9962
O15554,IC,0.9615,0.9564,0.6955,0.7301,0.9904,0.9901,0.936,0.9379,0.9712,0.9685,0.7851,0.8039,0.9808,0.9797,0.8648,0.8728,413,104,47,470,rf,f1_score,0.9901
P16455,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9867,0.9862,0.9158,0.9191,299,75,34,340,xgb,f1_score,1.0
Q13002,IC,0.9983,0.9983,0.9669,0.9674,0.9983,0.9983,0.9669,0.9674,0.9983,0.9983,0.9669,0.9674,0.9983,0.9983,0.9669,0.9674,2397,600,81,2916,xgb,f1_score,0.9983
P62937,Enzyme,0.9869,0.9864,0.916,0.9192,0.9956,0.9956,0.9732,0.9736,0.9956,0.9956,0.9732,0.9736,0.9913,0.9911,0.9452,0.9466,915,229,104,1040,rf,f1_score,0.9956
Q99873,Epigenetic,0.9655,0.9615,0.7327,0.7604,0.9655,0.9615,0.7327,0.7604,0.9655,0.9615,0.7327,0.7604,0.9483,0.9379,0.5492,0.6153,228,58,26,260,xgb,f1_score,0.9615
Q495T6,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9897,0.9894,0.9355,0.9375,387,97,44,440,xgb,f1_score,1.0
P01042,Other,0.9923,0.9924,0.9558,0.9567,1.0,1.0,1.0,1.0,0.9846,0.9851,0.9146,0.9179,1.0,1.0,1.0,1.0,519,130,59,590,rf,f1_score,1.0
O96017,Kinase,0.9615,0.962,0.9172,0.9204,1.0,1.0,1.0,1.0,0.9615,0.962,0.9172,0.9204,0.8846,0.8873,0.7636,0.7859,103,26,43,86,rf,f1_score,1.0
Q92523,Enzyme,0.9818,0.9809,0.8791,0.8856,0.9545,0.9509,0.6821,0.6948,0.9636,0.9618,0.7582,0.7638,0.9545,0.9535,0.712,0.7132,440,110,50,500,xgb,f1_score,0.9809
P17936,Other,0.9884,0.988,0.927,0.9295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9535,0.9575,0.7749,0.7953,343,86,39,390,rf,f1_score,1.0
P25024,GPCR,0.997,0.9969,0.9396,0.9413,0.997,0.9969,0.9396,0.9413,0.9954,0.9954,0.9119,0.9123,0.997,0.9969,0.9396,0.9413,2634,659,89,3204,xgb,f1_score,0.9969
O60760,Enzyme,0.9588,0.955,0.6987,0.7155,0.9706,0.9679,0.7848,0.8036,0.9412,0.9443,0.6737,0.6795,0.9588,0.9567,0.7187,0.724,677,170,77,770,rf,f1_score,0.9679
P48736,Kinase,0.9932,0.9931,0.9575,0.9584,0.9877,0.9873,0.9213,0.9242,0.985,0.9849,0.909,0.9091,0.9945,0.9945,0.9662,0.9668,2930,733,333,3330,mlp,f1_score,0.9945
Q9Y463,Kinase,0.9916,0.9914,0.9478,0.9491,1.0,1.0,1.0,1.0,0.9916,0.9918,0.9519,0.953,0.9916,0.9914,0.9478,0.9491,475,119,54,540,rf,f1_score,1.0
P39086,IC,0.9973,0.9973,0.946,0.9474,0.9991,0.9991,0.9826,0.9827,0.9973,0.9974,0.9494,0.9496,0.9991,0.9991,0.9831,0.9833,4499,1125,152,5472,mlp,f1_score,0.9991
P11511,Enzyme,0.9892,0.9889,0.9314,0.933,0.9852,0.9847,0.9045,0.9074,0.9852,0.9852,0.9112,0.9113,0.9872,0.9872,0.9225,0.9225,9970,2493,1133,11330,xgb,f1_score,0.9889
P13501,Other,0.9667,0.9628,0.7333,0.7609,0.9833,0.9825,0.88,0.8864,1.0,1.0,1.0,1.0,0.9833,0.9825,0.88,0.8864,237,60,27,270,svc,f1_score,1.0
P32754,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982,0.9983,0.9668,0.9674,1.0,1.0,1.0,1.0,2249,563,76,2736,xgb,f1_score,1.0
P04054,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928,0.9927,0.9561,0.957,554,139,63,630,xgb,f1_score,1.0
P17538,Enzyme,0.9804,0.9799,0.9295,0.9318,0.9608,0.9588,0.8522,0.8616,0.9412,0.9424,0.8061,0.8078,0.8431,0.8535,0.5405,0.5554,201,51,42,210,xgb,f1_score,0.9799
Q00534,Kinase,0.9972,0.9971,0.9445,0.946,0.9986,0.9986,0.973,0.9733,0.9979,0.9979,0.96,0.9601,0.9986,0.9986,0.973,0.9733,5742,1436,194,6984,rf,f1_score,0.9986
P11169,Transporter,0.9565,0.9571,0.9069,0.9108,0.9565,0.9558,0.9013,0.9057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88,23,37,74,svc,f1_score,1.0
P21554,GPCR,0.9901,0.9899,0.9378,0.9388,0.9904,0.9902,0.9392,0.9407,0.9808,0.9812,0.8878,0.8886,0.9913,0.9913,0.9471,0.9471,13349,3338,1517,15170,mlp,f1_score,0.9913
P50391,GPCR,0.9773,0.9758,0.8451,0.8554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9773,0.9784,0.8764,0.8832,176,44,20,200,rf,f1_score,1.0
P22607,Kinase,0.9929,0.9927,0.9555,0.9564,0.9957,0.9957,0.9737,0.974,0.9957,0.9957,0.9737,0.974,0.9929,0.9927,0.9555,0.9564,2807,702,319,3190,rf,f1_score,0.9957
