protein_family,best_model,best_metric,best_score
NR,rf,cohen_kappa,0.9826
Kinase,xgb,cohen_kappa,0.9853
Kinase,svc,cohen_kappa,0.8421
NR,rf,cohen_kappa,0.9789
Enzyme,mlp,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9955
Enzyme,xgb,cohen_kappa,1.0
Epigenetic,svc,cohen_kappa,0.8468
Enzyme,mlp,cohen_kappa,0.8779
Enzyme,mlp,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.9642
GPCR,mlp,cohen_kappa,0.9429
IC,svc,cohen_kappa,0.9519
GPCR,rf,cohen_kappa,0.9667
Enzyme,rf,cohen_kappa,0.9677
GPCR,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9353
Enzyme,xgb,cohen_kappa,0.9784
Enzyme,rf,cohen_kappa,0.8797
Epigenetic,svc,cohen_kappa,0.9519
Enzyme,svc,cohen_kappa,0.7583
IC,xgb,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.9358
Enzyme,xgb,cohen_kappa,0.9025
Kinase,svc,cohen_kappa,0.9874
Other,svc,cohen_kappa,0.9473
Kinase,mlp,cohen_kappa,0.9497
NR,svc,cohen_kappa,0.9861
Kinase,mlp,cohen_kappa,0.9928
Other,svc,cohen_kappa,0.9013
Enzyme,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9378
Enzyme,xgb,cohen_kappa,0.9003
GPCR,rf,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9775
GPCR,xgb,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.9915
Enzyme,rf,cohen_kappa,0.9781
IC,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.8688
Enzyme,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.8319
Kinase,rf,cohen_kappa,0.9884
GPCR,mlp,cohen_kappa,0.9909
GPCR,svc,cohen_kappa,0.9732
Enzyme,rf,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.8379
Enzyme,mlp,cohen_kappa,0.9564
GPCR,xgb,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.9589
GPCR,xgb,cohen_kappa,0.9868
Kinase,xgb,cohen_kappa,1.0
IC,svc,cohen_kappa,0.9781
Enzyme,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.8939
Other,svc,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.8791
Kinase,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,1.0
